,Geography,Percent 20-49,Percent Male 20-49,Median Age,County,State
535,0500000US39003,42.6,43.699999999999996,39.9,Allen County,OH
536,0500000US39007,40.1,42.1,42.8,Ashtabula County,OH
537,0500000US39013,40.9,44.5,44.3,Belmont County,OH
538,0500000US39017,43.900000000000006,45.199999999999996,37.3,Butler County,OH
539,0500000US39023,41.8,42.300000000000004,41.1,Clark County,OH
540,0500000US39025,43.6,43.699999999999996,40.3,Clermont County,OH
541,0500000US39029,38.9,41.199999999999996,44.6,Columbiana County,OH
542,0500000US39035,45.1,45.9,40.2,Cuyahoga County,OH
543,0500000US39041,41.9,41.8,39.6,Delaware County,OH
544,0500000US39043,38.800000000000004,40.0,44.9,Erie County,OH
545,0500000US39045,43.400000000000006,45.0,38.9,Fairfield County,OH
546,0500000US39049,52.800000000000004,53.39999999999999,34.7,Franklin County,OH
547,0500000US39055,35.900000000000006,36.4,45.4,Geauga County,OH
548,0500000US39057,45.2,47.199999999999996,38.8,Greene County,OH
549,0500000US39061,46.900000000000006,47.49999999999999,36.9,Hamilton County,OH
550,0500000US39063,44.7,46.2,39.9,Hancock County,OH
551,0500000US39085,40.5,41.699999999999996,44.2,Lake County,OH
552,0500000US39089,42.199999999999996,42.0,39.7,Licking County,OH
553,0500000US39093,41.4,41.800000000000004,41.9,Lorain County,OH
554,0500000US39095,44.9,45.3,38.5,Lucas County,OH
555,0500000US39099,41.0,42.4,42.9,Mahoning County,OH
556,0500000US39101,43.8,47.0,41.0,Marion County,OH
557,0500000US39103,40.599999999999994,41.4,42.8,Medina County,OH
558,0500000US39109,40.900000000000006,40.300000000000004,41.8,Miami County,OH
559,0500000US39113,44.3,45.4,39.0,Montgomery County,OH
560,0500000US39119,43.9,46.1,40.2,Muskingum County,OH
561,0500000US39133,43.0,44.79999999999999,40.1,Portage County,OH
562,0500000US39139,42.9,46.6,40.7,Richland County,OH
563,0500000US39141,45.300000000000004,48.60000000000001,41.6,Ross County,OH
564,0500000US39145,42.9,45.0,39.7,Scioto County,OH
565,0500000US39151,41.6,42.5,41.5,Stark County,OH
566,0500000US39153,44.0,45.6,41.4,Summit County,OH
567,0500000US39155,39.2,40.3,44.6,Trumbull County,OH
568,0500000US39157,40.8,40.300000000000004,40.9,Tuscarawas County,OH
569,0500000US39165,44.0,45.70000000000001,39.3,Warren County,OH
570,0500000US39169,39.800000000000004,42.3,39.9,Wayne County,OH
571,0500000US39173,47.8,48.4,36.0,Wood County,OH
572,0500000US40017,47.7,48.699999999999996,35.7,Canadian County,OK
573,0500000US40027,51.699999999999996,52.9,35.7,Cleveland County,OK
574,0500000US40031,51.50000000000001,53.900000000000006,33.0,Comanche County,OK
575,0500000US40037,41.800000000000004,43.1,40.5,Creek County,OK
576,0500000US40101,44.699999999999996,44.099999999999994,37.6,Muskogee County,OK
577,0500000US40109,48.300000000000004,48.900000000000006,35.4,Oklahoma County,OK
578,0500000US40119,54.400000000000006,60.8,28.6,Payne County,OK
579,0500000US40125,43.9,43.0,38.4,Pottawatomie County,OK
580,0500000US40131,44.1,44.19999999999999,39.5,Rogers County,OK
581,0500000US40143,46.8,47.5,36.2,Tulsa County,OK
582,0500000US40145,44.1,44.6,39.0,Wagoner County,OK
583,0500000US41003,51.5,54.400000000000006,33.5,Benton County,OR
584,0500000US41005,43.8,44.0,41.9,Clackamas County,OR
585,0500000US41017,45.4,46.6,42.6,Deschutes County,OR
586,0500000US41019,37.599999999999994,39.2,46.7,Douglas County,OR
587,0500000US41029,42.1,43.0,42.1,Jackson County,OR
588,0500000US41033,36.400000000000006,35.199999999999996,48.5,Josephine County,OR
589,0500000US41035,40.4,38.4,40.9,Klamath County,OR
590,0500000US41039,47.400000000000006,47.900000000000006,40.5,Lane County,OR
591,0500000US41043,42.599999999999994,42.3,40.3,Linn County,OR
592,0500000US41047,46.400000000000006,48.0,37.1,Marion County,OR
593,0500000US41051,56.2,56.699999999999996,38.4,Multnomah County,OR
594,0500000US41053,43.599999999999994,43.4,37.4,Polk County,OR
595,0500000US41059,46.2,48.0,37.4,Umatilla County,OR
596,0500000US41067,51.199999999999996,52.1,38.1,Washington County,OR
597,0500000US41071,44.2,46.7,39.9,Yamhill County,OR
598,0500000US42001,38.6,39.7,43.9,Adams County,PA
599,0500000US42003,46.199999999999996,48.0,40.6,Allegheny County,PA
600,0500000US42005,38.0,38.9,47.3,Armstrong County,PA
601,0500000US42007,40.5,41.400000000000006,44.7,Beaver County,PA
602,0500000US42011,43.0,43.900000000000006,39.8,Berks County,PA
603,0500000US42013,40.7,42.0,43.6,Blair County,PA
604,0500000US42017,40.5,40.900000000000006,44.1,Bucks County,PA
605,0500000US42019,40.1,41.0,43.5,Butler County,PA
606,0500000US42021,38.099999999999994,39.6,46.0,Cambria County,PA
607,0500000US42025,38.2,39.699999999999996,45.2,Carbon County,PA
608,0500000US42027,50.800000000000004,54.1,34.2,Centre County,PA
609,0500000US42029,42.300000000000004,43.4,40.7,Chester County,PA
610,0500000US42033,41.7,45.6,45.5,Clearfield County,PA
611,0500000US42039,39.3,39.8,43.9,Crawford County,PA
612,0500000US42041,43.6,45.4,40.4,Cumberland County,PA
