,state,county,inc,% change
175,NV,Scott,38790,5.2
176,NV,Searcy,34335,11
177,NV,Sebastian,48556,4.9
178,NV,Sevier,41322,5.1
179,NV,Sharp,41025,5.1
180,NV,Stone,37002,5.8
181,NV,Union,50787,4.7
182,NV,Van Buren,38783,8.9
183,WA,White,42743,7.3
184,WA,Woodruff,49050,22.8
185,WA,Yell,41750,2.5
187,CA,Alameda,99746,10.2
188,CA,Alpine,72734,-6.2
189,CA,Amador,49752,8.3
190,CA,Butte,54694,11.3
191,CA,Calaveras,57726,10
192,CA,Colusa,54511,22.8
193,CA,Contra Costa,99312,8.7
194,CA,Del Norte,43951,12.1
195,CA,El Dorado,78525,7.6
196,CA,Fresno,51422,12.4
197,CA,Glenn,50626,13.5
198,CA,Humboldt,53607,9.5
199,CA,Imperial,47653,18.8
200,CA,Inyo,62090,3
201,CA,Kern,45961,11.6
202,CA,Kings,43176,13.1
203,CA,Lake,46918,9.8
204,CA,Lassen,39394,13.7
205,CA,Los Angeles,74141,8.4
206,CA,Madera,45757,11.9
207,CA,Marin,164118,6.1
208,CA,Mariposa,61343,6.6
209,CA,Mendocino,56047,10.6
210,CA,Merced,46580,13.9
211,CA,Modoc,54301,13.4
212,CA,Mono,64164,11.3
213,CA,Monterey,63449,8.5
214,CA,Napa,90608,11.1
215,NV,Orange,81034,7.4
216,NV,Placer,76849,7.2
217,NV,Plumas,57193,7.7
218,NV,Riverside,51180,10.2
219,NV,Sacramento,61829,9.4
220,NV,San Benito,68868,13.2
221,NV,San Bernardino,49493,10.3
222,NV,San Diego,72637,8.5
223,NV,San Francisco,160749,8.2
224,NV,San Joaquin,57783,13.7
225,NV,San Luis Obispo,66617,6.4
226,NV,San Mateo,160485,8.4
227,NV,Santa Barbara,73995,9.2
228,NV,Santa Clara,138724,8
229,NV,Santa Cruz,85554,10.1
230,NV,Shasta,54972,11.7
231,NV,Sierra,47135,7.7
232,NV,Siskiyou,52368,12.4
233,NV,Solano,65448,12.7
234,NV,Sonoma,81006,10.2
235,NV,Stanislaus,52356,12.3
236,NV,Sutter,53017,12.4
237,NV,Tehama,48042,11.4
238,NV,Trinity,36906,6.9
239,NV,Tulare,47986,13.7
240,NV,Tuolumne,52306,7.6
241,NV,Ventura,73375,7.5
242,NV,Yolo,64468,9.3
243,NV,Yuba,48984,10.5
245,CO,Adams,53183,7.4
246,CO,Alamosa,44507,8.2
247,CO,Arapahoe,74267,5.1
248,CO,Archuleta,52312,7.6
249,CO,Baca,52905,15.4
250,CO,Bent,32716,9.4
251,CO,Boulder,89593,4.4
252,CO,Broomfield,73678,-0.4
253,CO,Chaffee,60550,6.1
254,CO,Cheyenne,76057,-11.6
255,CO,Clear Creek,77242,6.6
256,CO,Conejos,45961,8.3
257,CO,Costilla,43239,6.4
258,CO,Crowley,24314,11.4
259,CO,Custer,51271,6.4
260,CO,Delta,46042,12.1
261,CO,Denver,99133,3.7
262,CO,Dolores,39481,4.2
263,CO,Douglas,87841,4.7
264,CO,Eagle,97255,8
265,CO,Elbert,70961,4.2
266,CO,El Paso,58627,7.2
267,CO,Fremont,41017,9
268,CO,Garfield,67123,5.3
269,CO,Gilpin,63971,9.8
270,CO,Grand,62267,6.3
271,CO,Gunnison,59514,8.2
272,CO,Hinsdale,56524,2.6
273,CO,Huerfano,48801,9.9
274,CO,Jackson,62823,6.8
275,CO,Jefferson,74822,3.8
276,CO,Kiowa,75006,2.1
277,CO,Kit Carson,52253,0.6
278,CO,Lake,48942,10.4
279,CO,La Plata,66944,4.8
280,CO,Larimer,64258,5.9
281,CO,Las Animas,44731,10.4
282,CO,Lincoln,37623,11.3
283,CO,Logan,48330,2.3
284,CO,Mesa,52121,5.5
285,CO,Mineral,70250,2.6
286,CO,Moffat,49227,9.4
287,CO,Montezuma,50960,6.4
288,CO,Montrose,50789,8.2
289,CO,Morgan,52069,5.8
290,CO,Otero,42752,8.9
291,CO,Ouray,76727,7.2
292,CO,Park,57127,6.5
293,CO,Phillips,50382,4.3
294,CO,Pitkin,198939,2.4
295,CO,Prowers,46073,5.2
296,CO,Pueblo,46927,9.2
297,CO,Rio Blanco,54745,6.5
298,CO,Rio Grande,57350,9
299,CO,Routt,98371,7.1
300,CO,Saguache,43959,4.2
301,CO,San Juan,58067,7.9
302,CO,San Miguel,109613,6
303,CO,Sedgwick,51705,-2.1
304,CO,Summit,86390,6.1
305,CO,Teller,61966,7.3
306,WA,Weld,56553,4.5
307,WA,Yuma,48898,-6
309,CT,Fairfield,127391,2
310,CT,Hartford,70168,4.5
311,CT,Litchfield,74852,5.9
312,CT,Middlesex,74453,4.5
313,CT,New Haven,64643,5.7
314,CT,New London,63877,4.9
315,CT,Tolland,63722,5
316,CT,Windham,55261,7.3
318,DE,Kent,50432,4.6
319,DE,New Castle,63189,4.2
320,DE,Sussex,59472,2.8
323,FL,Alachua,52367,6.5
324,FL,Baker,40735,6.7
325,FL,Bay,53980,8.5
326,FL,Bradford,39748,7.1
327,FL,Brevard,55477,6.2
328,FL,Broward,64453,6.4
329,FL,Calhoun,35792,10.1
330,FL,Charlotte,51677,5
331,FL,Citrus,45050,5.8
332,FL,Clay,51885,6.1
333,FL,Collier,117984,2
334,FL,Columbia,43184,7.1
335,FL,DeSoto,32873,6.7
336,FL,Dixie,33813,8.7
337,FL,Duval,54354,6.8
338,FL,Escambia,51808,6.9
339,FL,Flagler,56336,3.8
340,FL,Franklin,41878,6.8
341,FL,Gadsden,44832,8.7
342,FL,Gilchrist,41769,6.6
343,FL,Glades,33401,9.5
344,FL,Gulf,49250,6.2
345,FL,Hamilton,32123,7.8
346,FL,Hardee,35636,8.5
347,FL,Hendry,39699,9.7
348,FL,Hernando,46080,7.2
349,FL,Highlands,41568,7.9
350,FL,Hillsborough,58140,6.7
351,FL,Holmes,37381,7.2
352,FL,Indian River,95109,2.8
353,FL,Jackson,39322,6.6
354,FL,Jefferson,50197,4.8
355,FL,Lafayette,31218,5.9
356,FL,Lake,49831,4.6
357,FL,Lee,62885,4.9
358,FL,Leon,54277,6.4
359,FL,Levy,43272,7.5
360,FL,Liberty,32872,11.8
361,FL,Madison,39165,8.1
362,FL,Manatee,59152,4.3
363,FL,Marion,45152,7.2
364,FL,Martin,102273,2.9
365,FL,Miami-Dade,64849,2.8
366,FL,Monroe,109136,1.4
367,FL,Nassau,70010,4.4
368,FL,Okaloosa,59384,6.6
369,FL,Okeechobee,39747,7.2
370,FL,Orange,54979,6.3
371,FL,Osceola,43354,8
372,FL,Palm Beach,100627,3.9
373,FL,Pasco,50479,6.6
374,FL,Pinellas,65936,5.8
375,FL,Polk,43556,7.3
376,FL,Putnam,40376,8.5
377,FL,St. Johns,80062,2.8
378,FL,St. Lucie,50038,5.7
379,FL,Santa Rosa,53778,5.3
380,FL,Sarasota,78815,3.5
381,FL,Seminole,58539,3.9
382,FL,Sumter,64282,2.9
383,FL,Suwannee,39039,6.8
384,FL,Taylor,35156,7.8
385,FL,Union,25293,8
386,FL,Volusia,52964,4.3
387,FL,Wakulla,45669,6
388,FL,Walton,78714,3.8
390,GA,Appling,41863,9.8
391,GA,Atkinson,35527,6.9
392,GA,Bacon,39471,15.6
393,GA,Baker,51216,8.4
394,GA,Baldwin,40542,8.2
395,GA,Banks,43766,4.6
396,GA,Barrow,44534,7.1
397,GA,Bartow,47162,8.4
398,GA,Ben Hill,38640,11.7
399,GA,Berrien,39945,8.3
400,GA,Bibb,46781,8
401,GA,Bleckley,41298,7.3
402,GA,Brantley,35435,11.7
403,GA,Brooks,40982,9.7
404,GA,Bryan,54772,4.4
405,GA,Bulloch,37901,7.8
406,GA,Burke,41870,8.7
407,GA,Butts,41657,7
408,GA,Calhoun,34306,10.4
409,GA,Camden,42945,6.9
410,GA,Candler,40988,8.8
411,GA,Carroll,47002,8.2
412,GA,Catoosa,42448,8.6
413,GA,Charlton,30916,9.1
414,GA,Chatham,54586,7.9
415,GA,Chattahoochee,39690,10.3
416,GA,Chattooga,36833,8.8
417,GA,Cherokee,60235,4.8
418,GA,Clarke,40672,7.9
419,GA,Clay,40439,14
420,GA,Clayton,36056,14.7
421,GA,Clinch,42450,7.2
422,GA,Cobb,67616,4.7
423,GA,Coffee,40209,8.6
424,GA,Colquitt,40678,10.6
425,GA,Columbia,58242,5.3
426,GA,Cook,39380,8.4
427,GA,Coweta,57721,6.7
428,GA,Crawford,41063,7.5
429,GA,Crisp,45951,9.7
430,GA,Dade,40579,7.2
431,GA,Dawson,53996,4.1
432,GA,Decatur,41331,9.4
433,GA,DeKalb,61861,7.5
434,GA,Dodge,37268,7.7
435,GA,Dooly,43689,6.9
436,GA,Dougherty,44575,11.9
437,GA,Douglas,44779,10
438,GA,Early,43650,8.8
439,GA,Echols,36062,14.2
440,GA,Effingham,48212,6.1
441,GA,Elbert,41104,6.8
442,GA,Emanuel,40614,12.9
